Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
Free,WA,WA,2015 Nissan,Leaf S,$7998,50K,Renton
$299,CA,WA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$799,CA,WA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,WA,2015 Nissan,Leaf SV,$8599,36K,Reno
$599,NV,WA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$299,CA,WA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$299,CA,WA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$599,CA,WA,2017 Nissan,Leaf S,$8998,57K,Irvine
$299,CA,WA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$299,CA,WA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$299,CA,WA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$299,CA,WA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,WA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$299,CA,WA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$299,CA,WA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$599,CA,WA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$99,NV,WA,2015 Nissan,Leaf SV,$8998,44K,Reno
Free,WA,WA,2015 Nissan,Leaf S,$7998,50K,Renton
$299,CA,WA,2015 Nissan,Leaf SV,$7998,59K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$8599,38K,Pleasanton
$799,CA,WA,2016 Nissan,Leaf S,$8599,52K,Kearny Mesa
$99,NV,WA,2015 Nissan,Leaf SV,$8599,36K,Reno
$599,NV,WA,2015 Smart,Fortwo Pure,$8599,54K,Henderson
$299,CA,WA,2015 Chevrolet,Spark EV LT,$8998,42K,Sacramento/Roseville
$299,CA,WA,2015 Fiat,500 Sport,$8998,66K,Sacramento South
Shipping not available,N/A,N/A,2015 Mitsubishi,Mirage DE,$8998,61K,Potomac Mills
Coming soon,N/A,N/A,2015 Mitsubishi,Mirage ES,$8998,38K,Orlando
$599,CA,WA,2017 Nissan,Leaf S,$8998,57K,Irvine
$299,CA,WA,2017 Nissan,Leaf S,$8998,32K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,56K,Pleasant Hill
$299,CA,WA,2015 Nissan,Leaf S,$8998,40K,Fairfield
$299,CA,WA,2015 Nissan,Leaf S,$8998,41K,Sacramento South
$299,CA,WA,2017 Nissan,Leaf S,$8998,37K,Pleasant Hill
$299,CA,WA,2017 Nissan,Leaf S,$8998,36K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,28K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$8998,39K,Capitol Expressway
$1299,AZ,WA,2017 Nissan,Leaf S,$8998,49K,Phoenix-West Valley
$299,CA,WA,2016 Nissan,Leaf S,$8998,33K,Santa Rosa
$299,CA,WA,2016 Nissan,Leaf SV,$8998,51K,Sacramento/Roseville
$599,CA,WA,2015 Nissan,Leaf SV,$8998,48K,Buena Park
$99,NV,WA,2015 Nissan,Leaf SV,$8998,44K,Reno
$299,CA,WA,2015 Nissan,Leaf SV,$8998,56K,Serramonte
Shipping not available,N/A,N/A,2015 Nissan,Versa Note S,$8998,56K,Murrieta
$999,TX,WA,2015 Smart,Fortwo Passion,$8998,24K,Lubbock
$1799,TX,WA,2015 Smart,Fortwo Pure,$8998,38K,San Antonio
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9499,25K,White Marsh
Free,WA,WA,2015 Chevrolet,Spark LS,$9599,48K,Puyallup
$799,CA,WA,2016 Chevrolet,Spark LS,$9599,47K,Escondido
$599,NV,WA,2015 Chevrolet,Spark EV LT,$9599,20K,West Sahara
$1499,MO,WA,2017 Mitsubishi,Mirage G4 ES,$9599,32K,Independence
Free,OR,WA,2015 Nissan,Leaf S,$9599,58K,Beaverton
$299,CA,WA,2016 Nissan,Leaf S,$9599,29K,Fairfield
$99,NV,WA,2016 Nissan,Leaf S,$9599,30K,Reno
$299,CA,WA,2015 Nissan,Leaf S,$9599,45K,Pleasanton
$799,CA,WA,2015 Nissan,Leaf S,$9599,31K,Kearny Mesa
$299,CA,WA,2017 Nissan,Leaf S,$9599,25K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$9599,37K,Serramonte
$99,NV,WA,2017 Nissan,Leaf S,$9599,34K,Reno
$999,NC,WA,2015 Nissan,Leaf S,$9599,57K,Greenville NC
$1999,FL,WA,2015 Nissan,Leaf S,$9599,51K,Sample Rd (Pompano Beach)
$299,CA,WA,2017 Nissan,Leaf S,$9599,34K,Capitol Expressway
$299,CA,WA,2017 Nissan,Leaf S,$9599,44K,Capitol Expressway
$299,CA,WA,2017 Nissan,Leaf S,$9599,36K,Capitol Expressway
$299,CA,WA,2016 Nissan,Leaf S,$9599,16K,Fairfield
$299,CA,WA,2017 Nissan,Leaf S,$9599,33K,Santa Rosa
$99,NV,WA,2017 Nissan,Leaf S,$9599,34K,Reno
$99,NV,WA,2017 Nissan,Leaf S,$9599,31K,Reno
$599,CA,WA,2015 Nissan,Leaf S,$9599,42K,San Gabriel Valley/Duarte
Coming soon,N/A,N/A,2015 Nissan,Leaf S,$9599,42K,Puyallup
$299,CA,WA,2017 Nissan,Leaf S,$9599,31K,Fremont
$599,CA,WA,2016 Nissan,Leaf S,$9599,40K,LAX
$599,CA,WA,2016 Nissan,Leaf S,$9599,46K,Oxnard
Shipping not available,N/A,N/A,2017 Nissan,Leaf S,$9599,40K,Costa Mesa
$299,CA,WA,2015 Nissan,Leaf SV,$9599,57K,Pleasanton
$599,CA,WA,2015 Nissan,Leaf SV,$9599,37K,Palmdale
In stock,N/A,N/A,2015 Nissan,Leaf SV,$9599,50K,Lynnwood
$1299,CA,WA,2015 Smart,Fortwo Pure,$9599,6K,Canoga Park
$1999,LA,WA,2016 Chevrolet,Sonic LS,$9998,31K,Baton Rouge
Shipping not available,N/A,N/A,2016 Chevrolet,Spark LS,$9998,68K,Sacramento South
Shipping not available,N/A,N/A,2015 Chevrolet,Spark LS,$9998,57K,Ft. Lauderdale
$899,CO,WA,2015 Chevrolet,Spark LS,$9998,47K,Parker
$1299,AZ,WA,2016 Chevrolet,Spark EV LT,$9998,42K,Tucson
$599,CA,WA,2015 Chevrolet,Spark EV LT,$9998,61K,San Gabriel Valley/Duarte
$899,CO,WA,2015 Fiat,500 Pop,$9998,52K,West 104th Ave
Coming soon,N/A,N/A,2015 Fiat,500 Sport,$9998,58K,Birmingham
Free,WA,WA,2015 Fiat,500L Pop,$9998,60K,Renton
$1499,IL,WA,2015 Ford,Fiesta SE,$9998,50K,Schaumburg
$299,CA,WA,2015 Ford,Focus Electric,$9998,22K,Serramonte
$1999,SC,WA,2015 Mitsubishi,Mirage DE,$9998,57K,Columbia
$1999,TX,WA,2015 Mitsubishi,Mirage DE,$9998,49K,Southwest Freeway
$299,CA,WA,2017 Nissan,Leaf S,$9998,36K,Serramonte
$299,CA,WA,2016 Nissan,Leaf S,$9998,18K,Serramonte
$299,CA,WA,2017 Nissan,Leaf S,$9998,36K,Capitol Expressway
$299,CA,WA,2017 Nissan,Leaf S,$9998,25K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$9998,32K,Serramonte
$99,NV,WA,2017 Nissan,Leaf S,$9998,44K,Reno
$299,CA,WA,2017 Nissan,Leaf S,$9998,34K,Sacramento/Roseville
$299,CA,WA,2017 Nissan,Leaf S,$9998,44K,Serramonte
$599,CA,WA,2017 Nissan,Leaf S,$9998,39K,Burbank
$599,NV,WA,2017 Nissan,Leaf S,$9998,32K,Henderson
$299,CA,WA,2017 Nissan,Leaf S,$9998,25K,Santa Rosa
$299,CA,WA,2017 Nissan,Leaf S,$9998,22K,Fremont
Free,WA,WA,2016 Nissan,Leaf S,$9998,25K,Spokane
$299,CA,WA,2017 Nissan,Leaf S,$9998,22K,Fremont
Shipping not available,N/A,N/A,2017 Nissan,Leaf S,$9998,29K,Kearny Mesa
$299,CA,WA,2015 Nissan,Leaf S,$9998,24K,Capitol Expressway
$599,NV,WA,2016 Nissan,Leaf S,$9998,21K,West Sahara
$599,CA,WA,2016 Nissan,Leaf S,$9998,25K,Murrieta
Free,WA,WA,2017 Nissan,Leaf S,$9998,23K,Vancouver
$999,TX,WA,2015 Nissan,Leaf SV,$9998,47K,Lubbock
Shipping not available,N/A,N/A,2017 Nissan,Leaf SV,$9998,39K,Capitol Expressway
$799,CA,WA,2016 Nissan,Leaf SV,$9998,44K,Kearny Mesa
$299,CA,WA,2017 Nissan,Versa S,$9998,60K,Serramonte
$349,ID,WA,2017 Nissan,Versa S,$9998,51K,Boise (Meridian)
$1999,FL,WA,2015 Nissan,Versa S,$9998,36K,Orlando
$899,CA,WA,2018 Nissan,Versa S,$9998,51K,Palm Desert
$1299,CA,WA,2015 Nissan,Versa Note S Plus,$9998,67K,Canoga Park
$599,CA,WA,2015 Nissan,Versa Note SV,$9998,63K,San Gabriel Valley/Duarte
Free,WA,WA,2015 Smart,Fortwo Passion,$9998,33K,Puyallup
Shipping not available,N/A,N/A,2015 Smart,Fortwo Pure,$9998,32K,Sacramento/Roseville
$1999,MD,WA,2015 Fiat,500 Pop,$10499,51K,Frederick
$599,CA,WA,2015 Chevrolet,Sonic LS,$10599,55K,Buena Park
$1099,TX,WA,2015 Chevrolet,Spark LS,$10599,62K,Pharr
$299,CA,WA,2018 Chevrolet,Spark LS,$10599,38K,Sacramento/Roseville
Coming soon,N/A,N/A,2016 Chevrolet,Spark LS,$10599,72K,Henderson
In stock,N/A,N/A,2016 Chevrolet,Spark LT,$10599,67K,Lynnwood
$299,CA,WA,2015 Chevrolet,Spark EV LT,$10599,34K,Fremont
$349,ID,WA,2015 Fiat,500 Pop,$10599,40K,Boise (Meridian)
Coming soon,N/A,N/A,2015 Fiat,500 Pop,$10599,38K,Centennial
Shipping not available,N/A,N/A,2015 Fiat,500 Pop,$10599,68K,Murrieta
$1299,AZ,WA,2015 Fiat,500 Pop,$10599,53K,Phoenix-Gilbert
$1999,TX,WA,2015 Fiat,500 Sport,$10599,54K,Fort Bend
$599,CA,WA,2015 Fiat,500 Sport,$10599,54K,Buena Park
$1999,TN,WA,2016 Ford,Fiesta S,$10599,47K,Chattanooga
$1799,TX,WA,2016 Ford,Fiesta S,$10599,49K,Hulen Mall